id,revenue
3001,13117210.334020123
3002,329195.7223734012
3003,8074705.224279127
3004,6208552.426563112
3005,881181.3977929181
3006,2648964.5564612616
3007,2031812.0824187626
3008,45705889.887664214
3009,34113015.03671766
3010,367141774.35474753
3011,297206.75345899956
3012,217945.69147708613
3013,27284464.781878293
3014,263996.9087574747
3015,33327308.753247272
3016,101809.18536875804
3017,131477642.21996906
3018,86161108.61757718
3019,16810548.837811578
3020,508047666.34814614
3021,50625641.60299349
3022,40688807.313378565
3023,54412.17579567572
3024,8322076.598484059
3025,54945.43048598505
3026,89420500.79245992
3027,2289373.722680285
3028,86020118.2891438
3029,262101.63725086878
3030,20822919.48119532
3031,7360940.743040389
3032,4189762.6350155976
3033,4828.3483332998685
3034,132228.45995662914
3035,164086.57929098216
3036,8555067.428074365
3037,33750700.38676584
3038,7364899.298858544
3039,5793959.617416716
3040,1346240.6446231157
3041,9581689.44187484
3042,1741015.3676175536
3043,3672357.623563746
3044,1570827.4064813992
3045,443427302.8784294
3046,1525871.120504214
3047,767001.0922619846
3048,19068454.629266247
3049,52909822.49132317
3050,40928796.36276687
3051,473.21895010409685
3052,11231828.530582871
3053,132602.63404386022
3054,86705.08216328647
3055,73726956.1425283
3056,98133.8145757613
3057,20837753.93671094
3058,306319050.22380114
3059,594781.2500057407
3060,137672389.61744356
3061,33679392.70966159
3062,4988950.90369312
3063,8866119.612241263
3064,47030951.617610514
3065,20481657.389087055
3066,27667218.99744831
3067,286056.4420692077
3068,94372164.35661495
3069,179758552.54812312
3070,1236598.8795310874
3071,3202949.662608646
3072,470872660.2112804
3073,3398854.2821470783
3074,264283.26124787104
3075,70328146.69458908
3076,160806658.60655364
3077,3503046.1855373005
3078,60452724.85411745
3079,31304056.204709098
3080,151093087.77453673
3081,12524093.674013563
3082,2606552.8507460756
3083,5186373.558352429
3084,4270.232748478782
3085,13626222.399300197
3086,44212122.29166911
3087,94437.35223084765
3088,209442.92728342355
3089,51310.31883897637
3090,46468730.303538375
3091,14008065.896484476
3092,3337953.5869018463
3093,215665471.1610845
3094,121816165.456099
3095,68852673.62505154
3096,3561490.6629455048
3097,688842678.8899114
3098,29336437.739496898
3099,46349507.18803519
3100,5130305.512336226
3101,8343869.0908753695
3102,166051.47116273778
3103,788142.9030935658
3104,5897769.933469553
3105,36596954.31945815
3106,36861394.58155532
3107,53800465.39205795
3108,7239142.293507604
3109,14779576.335104331
3110,289989459.96333575
3111,5227530.617294979
3112,203122.08256655556
3113,1143587.3136476118
3114,23783565.45261488
3115,11297262.184351962
3116,5277126.981391548
3117,267722.4943934361
3118,855609.6418301826
3119,253719619.82336488
3120,12517287.49684762
3121,178637.992002918
3122,2878214.09839429
3123,10577241.495971218
3124,574739.7819568862
3125,221.51462256327972
3126,57329697.05452997
3127,20817310.271467566
3128,25170114.967532128
3129,317570455.0161588
3130,14820027.58410889
3131,2979671.1548553742
3132,3596685.6183086163
3133,300250.28538459254
3134,15109710.861775698
3135,3395915.6025877506
3136,3721597.8944538618
3137,91056116.59523474
3138,1602510.162931448
3139,14133822.144500084
3140,137555357.4088093
3141,4563657.177496231
3142,10786.970325034343
