id,revenue
3001,12572075.202041846
3002,290515.85287452745
3003,7275232.346567538
3004,6214618.9481844315
3005,990847.1258200802
3006,2029551.46344933
3007,1778596.5666298452
3008,45917657.83240187
3009,36029558.9721082
3010,366789755.9196135
3011,558844.842080356
3012,258853.86500589616
3013,30223485.455645822
3014,383802.1235730984
3015,31272533.10672
3016,110582.72716845355
3017,136288128.04650646
3018,103864680.20471025
3019,14737202.223303223
3020,479537200.94768715
3021,52538589.668163545
3022,36538464.903174974
3023,39727.93482135934
3024,11519966.35380107
3025,80603.64689501037
3026,89472269.02295406
3027,2282288.621938542
3028,77384575.48939866
3029,396059.02993567265
3030,18383370.109962516
3031,7511033.335593259
3032,5941246.540401869
3033,819.1089148831991
3034,309583.12859513203
3035,191724.35120250314
3036,11462933.502921259
3037,34698434.67512629
3038,11222398.640944555
3039,5378982.303099251
3040,994973.3098249245
3041,8256264.744173356
3042,1778896.8483445956
3043,3722802.742793231
3044,1004180.2847988197
3045,478111638.8338863
3046,1430193.8770847232
3047,677279.9183426275
3048,19774304.317706402
3049,50260286.28881562
3050,36706645.76012298
3051,301.69161366721977
3052,16032673.109082691
3053,88776.37472154152
3054,39190.0095967391
3055,77501654.49589771
3056,67493.33478320779
3057,17119487.773277
3058,361694338.69198066
3059,991930.070086682
3060,141597460.4439099
3061,38203413.14929394
3062,4883161.223965865
3063,9844447.648381237
3064,51389695.41357075
3065,19742360.81684396
3066,37849051.80341599
3067,282370.4384486403
3068,88135611.68289036
3069,159494496.9359594
3070,811172.1695959844
3071,4119565.296054394
3072,553998884.8270437
3073,3112798.7848840975
3074,209984.8779800887
3075,70744438.42305337
3076,157526721.89576322
3077,3488281.2088020197
3078,62182932.617676556
3079,21708445.77980586
3080,127062469.89908132
3081,10798627.004118288
3082,2588872.339313653
3083,5146318.543694576
3084,573.8569307203908
3085,12954184.189529134
3086,51718799.02274546
3087,80323.75684169961
3088,215367.81801193618
3089,11219.304721166909
3090,44283349.19500224
3091,13127854.77474843
3092,3425535.089197448
3093,191999071.4733519
3094,119931813.17769378
3095,63827603.225673154
3096,3987833.924295192
3097,737637134.8305402
3098,30612655.943803657
3099,47309224.66662363
3100,8685058.040524693
3101,6582299.898015892
3102,175066.6090048696
3103,1298124.5879904493
3104,6577315.5872760415
3105,44234002.1898243
3106,37709932.501324646
3107,52904194.43659463
3108,8727527.87890536
3109,9805752.840852208
3110,304907548.61369216
3111,6150831.5166607695
3112,237290.64155467515
3113,1144812.363106569
3114,26216128.665054355
3115,12285617.657484967
3116,4345917.30511233
3117,483287.97813390853
3118,968095.0174931182
3119,250302200.9813479
3120,19684666.987823293
3121,59181.89818993503
3122,3092926.4035546714
3123,8255635.394050708
3124,379555.53744149517
3125,192.07639956128278
3126,58749600.172224306
3127,22725831.7084345
3128,28576426.857767347
3129,277979451.83370006
3130,13641270.047849244
3131,3335634.766418923
3132,5289962.031947203
3133,414791.26252473023
3134,15885733.173577692
3135,3238291.569507046
3136,5353177.781260859
3137,103802184.91100278
3138,1305915.009595038
3139,15978132.106648387
3140,132933065.16624708
3141,4187650.902439304
3142,1623.4458210895216
3143,199210710.20569402
3144,6502695.4463502625
3145,5755216.644197006
3146,2203648.448286566
3147,14606688.761687841
3148,603098.9343545943
3149,6829768.951466936
3150,107493498.4791092
3151,6978775.025081597
3152,5893409.322076574
3153,484384.9954013728
3154,4388686.964671777
3155,14657351.363452049
3156,2482594.1696337513
3157,41750331.73537405
3158,241224691.65351728
3159,5267433.748707917
3160,19802881.822039537
3161,395300.1717754325
3162,2535508.6092450134
3163,155028069.5464921
3164,1638029.1079010002
3165,32547.278802762623
3166,255110.97972825854
3167,57201490.47939815
3168,117370.25601097489
3169,27235983.06458708
3170,20863783.58282372
3171,7989497.819888413
3172,18033840.160072185
3173,1105501.517785839
3174,671201.39793854
3175,8344491.420721787
3176,36711023.58342364
3177,194265361.05942675
3178,4286376.762388314
3179,5497985.714404435
3180,918418.8838640099
3181,308732.7619612046
3182,177348125.3202298
3183,24974469.48262903
3184,54991002.81660518
3185,65357997.66672421
3186,61216660.88260544
3187,2018278.5079109252
3188,11071591.04774111
3189,77934487.3470648
3190,23574415.700732727
3191,5471637.690103296
3192,1199630.1165049828
3193,234254481.4666791
3194,37934186.67239487
3195,119357.35609554527
3196,2507905.7831788557
3197,274849.4029887282
3198,186919613.67506734
3199,365589258.03727597
3200,13684735.656808376
